Date, Transaction Details, Funds Out, Funds In 
08/02/2024,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
08/02/2024,MISCELLANEOUS PAYMENTS ALIGHT CANADIAN CHEQUE,29.73,
08/02/2024,INSURANCE RBCINS-LIFE CHEQUE,189.00,
08/02/2024,EFT DEBIT CST Savings CHEQUE,160.00,
08/02/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
08/05/2024,MORTGAGE INVESTORS GROUP,1000.00,
08/05/2024,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
08/05/2024,POS MERCHANDISE MCDONALD S  250,29.56,
08/07/2024,POS MERCHANDISE TIM HORTONS  03,13.02,
08/07/2024,POS MERCHANDISE SHOPPERS DRUG M,34.56,
08/07/2024,POS MERCHANDISE SHOPPERS DRUG M,9.98,
08/08/2024,POS MERCHANDISE DOLLARAMA   695,10.17,
08/08/2024,POS MERCHANDISE TIM HORTONS  20,3.66,
08/12/2024,POS MERCHANDISE IKEA BURLINGTON,6.76,
08/12/2024,POS MERCHANDISE IKEA BURLINGTON,9.04,
08/13/2024,POS MERCHANDISE OAKVILLE WAREHO,25.99,
08/14/2024, TRANSFER IN 4422.19 USD@.737032,,6000.00
08/14/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2500.00,
08/15/2024,POS MERCHANDISE TIM HORTONS  32,14.53,
08/16/2024,PROPERTY TAXES City of Hamilto CHEQUE,675.58,
08/19/2024,MORTGAGE INVESTORS GROUP,1000.00,
08/19/2024,POS MERCHANDISE IKEA BURLINGTON,25.70,
08/20/2024,EFT CREDIT CANADA,,74.92
08/22/2024,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,334.94,
08/22/2024,POS MERCHANDISE TIM HORTONS  32,6.35,
08/26/2024,POS MERCHANDISE DOLLARAMA   598,112.44,
08/26/2024,POS MERCHANDISE RED HILL CAR WA,14.00,
08/26/2024,POS MERCHANDISE DUTCH MILL COUN,18.45,
08/27/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
08/27/2024,BILL PAYMENT Hydro One CHEQUE,180.36,
08/27/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,1200.00,
08/28/2024,EFT CREDIT CANADA LIFE,,1948.99
08/28/2024,EFT CREDIT CANADA,,2155.51
08/28/2024,POS MERCHANDISE TIM HORTONS  32,10.80,
08/28/2024, INTEREST,,0.25
08/29/2024,POS MERCHANDISE HUTCH S,17.85,
