Date, Transaction Details, Funds Out, Funds In 
04/02/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
04/02/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
04/02/2025,EFT DEBIT CST Savings CHEQUE,160.00,
04/02/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
04/02/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
04/03/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
04/03/2025, CHEQUE IMAGE DEPOSIT,,400.00
04/03/2025, CHEQUE IMAGE DEPOSIT,,200.00
04/03/2025, CHEQUE IMAGE DEPOSIT,,200.00
04/14/2025,MORTGAGE INVESTORS GROUP,1000.00,
04/14/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2000.00,
04/14/2025, TRANSFER OUT 4282.93 USD@1.400910,6000.00,
04/14/2025, TRANSFER IN 4371.60 USD@.728600,,6000.00
04/14/2025, TRANSFER IN 4371.79 USD@.728631,,6000.00
04/16/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
04/16/2025,EFT CREDIT CIBC EMPLOYEE DENTAL BENEFIT,,180.00
04/17/2025,EFT CREDIT ACE/CCB,,74.92
04/22/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
04/25/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
04/25/2025,BILL PAYMENT Hydro One CHEQUE,147.76,
04/28/2025,EFT CREDIT CANADA LIFE,,1948.99
04/28/2025,EFT CREDIT RPC/CPP,,2215.05
04/28/2025,MORTGAGE INVESTORS GROUP,1000.00,
04/29/2025,EFT CREDIT CIBC EMPLOYEE DENTAL BENEFIT,,431.10
04/29/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,3000.00,
04/29/2025, INTEREST,,0.26
