Date, Transaction Details, Funds Out, Funds In 
05/02/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
05/02/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
05/02/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
05/02/2025,EFT DEBIT CST Savings CHEQUE,160.00,
05/02/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
05/05/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
05/12/2025,MORTGAGE INVESTORS GROUP,1000.00,
05/13/2025,EFT CREDIT CIBC EMPLOYEE DENTAL BENEFIT,,221.40
05/14/2025,EFT CREDIT CIBC EMPLOYEE DENTAL BENEFIT,,221.40
05/16/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
05/16/2025, TRANSFER IN,,9516.69
05/16/2025, TRANSFER IN 4333.80 USD@.722300,,6000.00
05/20/2025,EFT CREDIT ACE/CCB,,74.92
05/21/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,6000.00,
05/22/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
05/26/2025,EFT CREDIT Assistive Devices,,375.00
05/26/2025,MORTGAGE INVESTORS GROUP,1000.00,
05/26/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,1500.00,
05/27/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
05/27/2025,BILL PAYMENT Hydro One CHEQUE,162.39,
05/28/2025,EFT CREDIT CANADA LIFE,,1948.99
05/28/2025,EFT CREDIT RPC/CPP,,2215.05
05/28/2025, INTEREST,,0.28
