Date, Transaction Details, Funds Out, Funds In 
11/04/2024,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
11/04/2024,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,29.73,
11/04/2024,INSURANCE RBCINS-LIFE CHEQUE,189.00,
11/04/2024,EFT DEBIT CST Savings CHEQUE,160.00,
11/04/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
11/05/2024,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
11/07/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,3000.00,
11/12/2024,MORTGAGE INVESTORS GROUP,1000.00,
11/12/2024,EFT CREDIT CIBC EMPLOYEE DENTAL BENEFIT,,177.30
11/18/2024,PROPERTY TAXES City of Hamilto CHEQUE,675.58,
11/20/2024,EFT CREDIT ACE/CCB,,74.92
11/20/2024, TRANSFER IN 4333.65 USD@.722275,,6000.00
11/20/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,1500.00,
11/22/2024,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,339.80,
11/25/2024,EFT CREDIT Assistive Devices,,375.00
11/25/2024,MORTGAGE INVESTORS GROUP,1000.00,
11/26/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
11/26/2024,BILL PAYMENT Hydro One CHEQUE,157.65,
11/27/2024,EFT CREDIT CANADA LIFE,,1948.99
11/27/2024,EFT CREDIT RPC/CPP,,2155.51
11/27/2024, INTEREST,,0.21
11/28/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2000.00,
