Date, Transaction Details, Funds Out, Funds In 
07/02/2025,CHEQUE #7 CHEQUE,55.00,
07/02/2025,CHEQUE #8 CHEQUE,40.00,
07/02/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,5000.00,
07/03/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
07/03/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
07/03/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
07/03/2025,EFT DEBIT CST Savings CHEQUE,160.00,
07/03/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
07/03/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
07/07/2025,MORTGAGE IG Wealth Mgmt.,1000.00,
07/16/2025,PROPERTY TAXES City of Hamilto CHEQUE,723.94,
07/18/2025,EFT CREDIT ACE/CCB,,149.32
07/21/2025,MORTGAGE IG Wealth Mgmt.,1000.00,
07/21/2025, TRANSFER IN 4415.40 USD@.735900,,6000.00
07/21/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,3000.00,
07/22/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
07/25/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
07/29/2025,EFT CREDIT CANADA LIFE,,1948.99
07/29/2025,EFT CREDIT RPC/CPP,,2215.05
07/29/2025,BILL PAYMENT Hydro One CHEQUE,172.29,
07/30/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2000.00,
07/30/2025, INTEREST,,0.36
